file,subdir,title,url,status_code,final_url,is_live,category,content_type,redirect_url,error,has_ssl
authority-dila-edu-tw-catalog.md,websites,Authority Dila Edu Tw Catalog,https://authority.dila.edu.tw/catalog/,200,https://authority.dila.edu.tw/catalog/,True,live,text/html; charset=UTF-8,,,True
authority-dila-edu-tw-person.md,websites,Authority Dila Edu Tw Person,https://authority.dila.edu.tw/person/,200,https://authority.dila.edu.tw/person/,True,live,text/html; charset=UTF-8,,,True
authority-dila-edu-tw-place.md,websites,Authority Dila Edu Tw Place,https://authority.dila.edu.tw/place/,200,https://authority.dila.edu.tw/place/,True,live,text/html; charset=UTF-8,,,True
bao-juan-open-access-hollis.harvard.edu-34cee3bb.md,websites,Bao Juan 寶卷 OPEN ACCESS,https://hollis.harvard.edu/primo-explore/search?query=lsr38%2Cexact%2CHarvard-Yenching+Library+Bao+Juan+digitization+project%2CAND&tab=books&search_scope=default_scope&sortby=rank&vid=HVD2&mode=advanced&offset=0,200,https://hollis.harvard.edu/discovery/search?vid=01HVD_INST%3AHVD2&mode=advanced&tab=LibraryCatalog&offset=0&query=lsr38%2Cexact%2CHarvard-Yenching+Library+Bao+Juan+digitization+project%2CAND&sortby=rank&search_scope=MyInstitution,True,live_redirect,text/html,https://hollis.harvard.edu/discovery/search?vid=01HVD_INST%3AHVD2&mode=advanced&tab=LibraryCatalog&offset=0&query=lsr38%2Cexact%2CHarvard-Yenching+Library+Bao+Juan+digitization+project%2CAND&sortby=rank&search_scope=MyInstitution,,True
bdcconline-net-en.md,websites,Bdcconline Net En,https://www.bdcconline.net/en,200,https://www.bdcconline.net/en,True,live,text/html; charset=UTF-8,,,True
bibliography-of-asian-studies-bas-nrs.harvard.edu-58ae4bf1.md,websites,Bibliography of Asian Studies (BAS),http://nrs.harvard.edu/urn-3:hul.eresource:ebscobas,200,https://login.harvard.edu/app/harvard_openathens_1/exk1w9eh910rJhOwO1d8/sso/saml?SAMLRequest=pZJPb9swDMW%2FiqG7Lcv5ZwtxiqxBsQzdEjTpDrsUtEzXxhTJE%2BWk%2FfZ1kgZLL8WAHQmQ7z3yx%2BnNy04He3TUWJMzEcUsQKNs2ZjnnD1u78KUBeTBlKCtwZwZy25mU4KdbuW887V5wD8dkg%2FmROh8r3JrDXU7dBt0%2B0bh48N9zmrvW5Kca%2FvcmMi2aMDXaCgy6PlRjCccFHHdFA7ca1SD24MrIyw7roEXAlOoBlWImUrCYTqGMKsmVZgOcKwSMcRJhSxY9DGaXvi0yUfHaz1oW%2F5eP%2F1N8iQ4vvwWhwzrTMTuW706rESZciJ7CsiCO%2BsUnlbOWQWaesflImeqUKIcTzARaTGcjMoiUyMYl2U8UUVaxMO%2Bi6jDpTle0ecsiZNxGA9DkW7FSCaZHMRRnMS%2FWLB21ltl9ZfGnM%2FfOSMtUEPSwA5JeiU38%2B%2F3MoliWZybSH7dbtfherXZsuDnBWNyxNiDNSRPpD6Xat992ZmrPOV1V%2FOfj8MFPJv9C%2BYdeijBQ0jt%2F%2BCe8qusl4f80YdbLtZWN%2Bo1mGttD7cOwfdvKxifnUc%2Bvu3sDQ%3D%3D&RelayState=%2Fsaml%2F2%2Fsso%2Flibrary.harvard.edu%2Fo%2F81365000%2Fc%2Foafed%3FSAMLRequest%3DfZLLbsIwEEV%252FJfKeOATCwyJIFBZF6gMB7aKbyjYDseR4Uo9Dy983gVa0GyTv7syZuXc8IVnaSszqULg1fNRAIfoqrSNxFnJWeydQkiHhZAkkghab2eODSONEVB4DarQsmhGBDwbdHB3VJfgN%252BKPR8LJ%252ByFkRQkWCcyqMUmghFDEo0lgghVhjyTdXgQh5y0%252F56nmzZdGiWcg42aKvIIsH42KsoBEKcBQ7CLzdl6e8BVijvPSnuJD%252BKP0uhl3NkY%252B6vUGWJAnXHOUedixaLnL2rkZ6uFey39vrYaIz3e9nmcp6%252B2Q47qkxjJoyohqWjoJ0IWdpkg46Sb%252FTHW27mUjHzXtj0eonijvjdsYdbuemLkUk7rfbVedi9BU8nU02BWw6ad2I82D%252F5x63sfL3CGzaJnUj8Qn%252Fw78Mq8RTA1wuVmiNPkUza%252FFz7kEGyFmX8eml5f9PmX4D%26RelayState%3Dhttps%253A%252F%252Fshibboleth.ebscohost.com%252FShibAgent.aspx%253Fshib_returl%253Dhttps%25253a%25252f%25252fsearch.ebscohost.com%25252fWebAuth%25252flogin.aspx%25253fprofile%25253dehost%252526defaultdb%25253dbas%252526authtype%25253dshib%252526IdpId%25253dhttps%2525253A%2525252F%2525252Flibrary.harvard.edu%2525252Fentity%252526shibcallback%25253dtrue,True,live_redirect,text/html;charset=utf-8,https://login.harvard.edu/app/harvard_openathens_1/exk1w9eh910rJhOwO1d8/sso/saml?SAMLRequest=pZJPb9swDMW%2FiqG7Lcv5ZwtxiqxBsQzdEjTpDrsUtEzXxhTJE%2BWk%2FfZ1kgZLL8WAHQmQ7z3yx%2BnNy04He3TUWJMzEcUsQKNs2ZjnnD1u78KUBeTBlKCtwZwZy25mU4KdbuW887V5wD8dkg%2FmROh8r3JrDXU7dBt0%2B0bh48N9zmrvW5Kca%2FvcmMi2aMDXaCgy6PlRjCccFHHdFA7ca1SD24MrIyw7roEXAlOoBlWImUrCYTqGMKsmVZgOcKwSMcRJhSxY9DGaXvi0yUfHaz1oW%2F5eP%2F1N8iQ4vvwWhwzrTMTuW706rESZciJ7CsiCO%2BsUnlbOWQWaesflImeqUKIcTzARaTGcjMoiUyMYl2U8UUVaxMO%2Bi6jDpTle0ecsiZNxGA9DkW7FSCaZHMRRnMS%2FWLB21ltl9ZfGnM%2FfOSMtUEPSwA5JeiU38%2B%2F3MoliWZybSH7dbtfherXZsuDnBWNyxNiDNSRPpD6Xat992ZmrPOV1V%2FOfj8MFPJv9C%2BYdeijBQ0jt%2F%2BCe8qusl4f80YdbLtZWN%2Bo1mGttD7cOwfdvKxifnUc%2Bvu3sDQ%3D%3D&RelayState=%2Fsaml%2F2%2Fsso%2Flibrary.harvard.edu%2Fo%2F81365000%2Fc%2Foafed%3FSAMLRequest%3DfZLLbsIwEEV%252FJfKeOATCwyJIFBZF6gMB7aKbyjYDseR4Uo9Dy983gVa0GyTv7syZuXc8IVnaSszqULg1fNRAIfoqrSNxFnJWeydQkiHhZAkkghab2eODSONEVB4DarQsmhGBDwbdHB3VJfgN%252BKPR8LJ%252ByFkRQkWCcyqMUmghFDEo0lgghVhjyTdXgQh5y0%252F56nmzZdGiWcg42aKvIIsH42KsoBEKcBQ7CLzdl6e8BVijvPSnuJD%252BKP0uhl3NkY%252B6vUGWJAnXHOUedixaLnL2rkZ6uFey39vrYaIz3e9nmcp6%252B2Q47qkxjJoyohqWjoJ0IWdpkg46Sb%252FTHW27mUjHzXtj0eonijvjdsYdbuemLkUk7rfbVedi9BU8nU02BWw6ad2I82D%252F5x63sfL3CGzaJnUj8Qn%252Fw78Mq8RTA1wuVmiNPkUza%252FFz7kEGyFmX8eml5f9PmX4D%26RelayState%3Dhttps%253A%252F%252Fshibboleth.ebscohost.com%252FShibAgent.aspx%253Fshib_returl%253Dhttps%25253a%25252f%25252fsearch.ebscohost.com%25252fWebAuth%25252flogin.aspx%25253fprofile%25253dehost%252526defaultdb%25253dbas%252526authtype%25253dshib%252526IdpId%25253dhttps%2525253A%2525252F%2525252Flibrary.harvard.edu%2525252Fentity%252526shibcallback%25253dtrue,,False
bibliography-of-oriental-studies-on-the-web-open-ccess-corpus.kanji.zinbun.kyoto-u.ac.jp-6cc60f30.md,websites,Bibliography of Oriental Studies on the Web 東洋学文献類目検索 OPENＡCCESS,https://corpus.kanji.zinbun.kyoto-u.ac.jp/gitlab/Ruimoku,200,https://corpus.kanji.zinbun.kyoto-u.ac.jp/gitlab/Ruimoku,True,live,text/html; charset=utf-8,,,True
bibpurl-oclc-org-web-69521.md,websites,国家哲学社会科学学术期刊数据库 National Social Sciences Database (PRC),http://bibpurl.oclc.org/web/69521,200,https://www.ncpssd.cn/journal/index,True,live_redirect,text/html;charset=UTF-8,https://www.ncpssd.cn/journal/index,,False
biogref-org.md,websites,Biogref Org,https://biogref.org/,200,https://biogref.org/,True,live,text/html,,,True
bksy-books-of-modern-china-1840-1949-cnbksy.com-01835cb6.md,websites,BKSY. Books of Modern China (1840-1949) 上海圖書館中国近代图书全文数据库,http://www.cnbksy.com/literature,412,https://www.cnbksy.com/literature,False,error_412,text/html; charset=utf-8,,,False
bksy-tabloids-1897-1949-go.openathens.net-9e00b4a5.md,websites,BKSY. Tabloids 小报 (1897-1949),http://www.cnbksy.com/product/productDescription?id=16,412,https://www.cnbksy.com/product/productDescription?id=16,False,error_412,text/html; charset=utf-8,,,False
blog-westminster-ac-uk-contemporarychina.md,websites,Blog Westminster Ac Uk Contemporarychina,http://blog.westminster.ac.uk/contemporarychina/,200,https://blog.westminster.ac.uk/contemporarychina/,True,live_redirect,text/html; charset=UTF-8,https://blog.westminster.ac.uk/contemporarychina/,,False
brill-chinese-research-perspectives-online-nrs.harvard.edu-11151068.md,websites,Brill. Chinese Research Perspectives Online,http://nrs.harvard.edu/urn-3:hul.eresource:brcrp,200,https://login.harvard.edu/app/harvard_openathens_1/exk1w9eh910rJhOwO1d8/sso/saml?SAMLRequest=pZJBb%2BIwEIX%2FSuR74tgEmliEii2qllV3QYX2sJdqSCZNtMbOehxo%2F30DFC29VCv1Zkvz3ryZb8bXL1sd7NBRY03ORBSzAE1hy8Y85%2BxhfRumLCAPpgRtDebMWHY9GRNsdaumna%2FNPf7tkHwwJULne5cba6jboluh2zUFPtzf5az2viXFubbPjYlsiwZ8jYYig54fzLjkUBDXzcaBe41qcDtwZYRlxzXwjcAUqkEVYlbIMElHEGbVVRWmAxwVUiR4VSELZn2Mpjc%2BTvKx46UftC1%2F%2Fz%2F9S%2FIkOL78EfsM60zE7ke92C9EmXIiewzIglvrCjyOnLMKNPUd57P%2BWcUwjDfpsJIyGSXDTRUPCoFlUsoyFrLsq4g6nJvDFn3OZCxHYZyEIl2LoZKZGgwiMcx%2Bs2DprLeF1d8ac1p%2F54yyQA0pA1sk5Qu1mv68UzKK1eZUROr7er0Ml4vVmgWPZ4zygLEHa0gdSX1u1b73ZSeu6pjXXeg%2Fl8MZPJv8D%2BYteijBQ0jtV3CP%2BUXW80H%2B6sPNZ0urm%2BI1mGpt9zcOwfdnKxifnCQfz3byBg%3D%3D&RelayState=%2Fsaml%2F2%2Fsso%2Flibrary.harvard.edu%2Fo%2F81365000%2Fc%2Fproxy.openathens.net%3FSAMLRequest%3DjZJRb9owFIX%252FiuX3xI6TQLAIFSuahtRtqKR72JvjXIolY2e%252BDiv%252FfgGG1Epdtccr3XvO0f3O%252FO7lYMkRAhrvapqlnBJw2nfGPdf0qfmcVJRgVK5T1juoqfP0bjFHdbC9XA5x7x7h1wAYyRIRQhxV7r3D4QBhC%252BFoNDw9PtR0H2OPkjHrn41L%252B%252BBfTqnvwam4B4epg8jOkkwwpZGJEniRdyIpc6WSYrcrEwUiS5SezkQlilnOd5SsRlczKlyCvzV4XxrRM2vaoMIp3atwVKFLoRuYZ1WWT0rOOdPsvWyUrFc1Bd2WRT7tJlzpYhxatSsn0LZc8LKqpjBuIQ6wdud3xZoKLiYJL5KsarJSipnMRVpNy5%252BUbIKPXnv7ybjrn4fgpFdoUDp1AJRRy%252B3y64MUKZftdQnll6bZJJvv24aSHzde4sxrJOhQXpB8LNX%252F9aVXgPKSN7y6%252F%252Fhc3QjTxe3d%252FyYJLpp4%252Bi%252BUc%252FYqza1b30b79WrjrdEnsrTW%252F74PoOLYwIyyxfXkbQMXfwA%253D%26RelayState%3Dhttp%253A%252F%252Freferenceworks.brillonline.com.proxy.openathens.net%252Fbrowse%252Fchinese-research-perspectives-online,True,live_redirect,text/html;charset=utf-8,https://login.harvard.edu/app/harvard_openathens_1/exk1w9eh910rJhOwO1d8/sso/saml?SAMLRequest=pZJBb%2BIwEIX%2FSuR74tgEmliEii2qllV3QYX2sJdqSCZNtMbOehxo%2F30DFC29VCv1Zkvz3ryZb8bXL1sd7NBRY03ORBSzAE1hy8Y85%2BxhfRumLCAPpgRtDebMWHY9GRNsdaumna%2FNPf7tkHwwJULne5cba6jboluh2zUFPtzf5az2viXFubbPjYlsiwZ8jYYig54fzLjkUBDXzcaBe41qcDtwZYRlxzXwjcAUqkEVYlbIMElHEGbVVRWmAxwVUiR4VSELZn2Mpjc%2BTvKx46UftC1%2F%2Fz%2F9S%2FIkOL78EfsM60zE7ke92C9EmXIiewzIglvrCjyOnLMKNPUd57P%2BWcUwjDfpsJIyGSXDTRUPCoFlUsoyFrLsq4g6nJvDFn3OZCxHYZyEIl2LoZKZGgwiMcx%2Bs2DprLeF1d8ac1p%2F54yyQA0pA1sk5Qu1mv68UzKK1eZUROr7er0Ml4vVmgWPZ4zygLEHa0gdSX1u1b73ZSeu6pjXXeg%2Fl8MZPJv8D%2BYteijBQ0jtV3CP%2BUXW80H%2B6sPNZ0urm%2BI1mGpt9zcOwfdnKxifnCQfz3byBg%3D%3D&RelayState=%2Fsaml%2F2%2Fsso%2Flibrary.harvard.edu%2Fo%2F81365000%2Fc%2Fproxy.openathens.net%3FSAMLRequest%3DjZJRb9owFIX%252FiuX3xI6TQLAIFSuahtRtqKR72JvjXIolY2e%252BDiv%252FfgGG1Epdtccr3XvO0f3O%252FO7lYMkRAhrvapqlnBJw2nfGPdf0qfmcVJRgVK5T1juoqfP0bjFHdbC9XA5x7x7h1wAYyRIRQhxV7r3D4QBhC%252BFoNDw9PtR0H2OPkjHrn41L%252B%252BBfTqnvwam4B4epg8jOkkwwpZGJEniRdyIpc6WSYrcrEwUiS5SezkQlilnOd5SsRlczKlyCvzV4XxrRM2vaoMIp3atwVKFLoRuYZ1WWT0rOOdPsvWyUrFc1Bd2WRT7tJlzpYhxatSsn0LZc8LKqpjBuIQ6wdud3xZoKLiYJL5KsarJSipnMRVpNy5%252BUbIKPXnv7ybjrn4fgpFdoUDp1AJRRy%252B3y64MUKZftdQnll6bZJJvv24aSHzde4sxrJOhQXpB8LNX%252F9aVXgPKSN7y6%252F%252Fhc3QjTxe3d%252FyYJLpp4%252Bi%252BUc%252FYqza1b30b79WrjrdEnsrTW%252F74PoOLYwIyyxfXkbQMXfwA%253D%26RelayState%3Dhttp%253A%252F%252Freferenceworks.brillonline.com.proxy.openathens.net%252Fbrowse%252Fchinese-research-perspectives-online,,False
brill-translations-of-the-peking-gazette-online-nrs.harvard.edu-7f4dbaf8.md,websites,Brill.Translations of the Peking Gazette Online 京报在线译本,http://nrs.harvard.edu/urn-3:hul.eresource:Brill_Peking_Gazette,200,https://go.openathens.net/redirector/library.harvard.edu?url=http%3A%2F%2Fprimarysources.brillonline.com%2Fbrowse%2Fthe-peking-gazette,True,live_redirect,text/html;charset=utf-8,https://go.openathens.net/redirector/library.harvard.edu?url=http%3A%2F%2Fprimarysources.brillonline.com%2Fbrowse%2Fthe-peking-gazette,,False
bristol-ac-uk-customs.md,websites,Bristol Ac Uk Customs,https://www.chinafamilies.net/records/chinese-maritime-customs-service/chinese-maritime-customs-project-2003-2007/,200,https://www.chinafamilies.net/records/chinese-maritime-customs-service/chinese-maritime-customs-project-2003-2007/,True,live,text/html; charset=UTF-8,,,True
britishart-yale-edu-while-we-are-closed.md,websites,Yale Center for British Art,https://britishart.yale.edu/while-we-are-closed,403,https://britishart.yale.edu/while-we-are-closed,False,blocked_403,text/html; charset=UTF-8,,,True
bu-edu-gdp-chinese-loans-to-africa-database.md,websites,Chinese Loans to Africa Database (open access),https://www.bu.edu/gdp/chinese-loans-to-africa-database,200,https://www.bu.edu/gdp/chinese-loans-to-africa-database/,True,live_redirect,text/html,https://www.bu.edu/gdp/chinese-loans-to-africa-database/,,True
c-wanfangdata-com-cn-conference.md,websites,中国学术会议论文数据库 Academic Conferences in China,https://c.wanfangdata.com.cn/conference,200,https://c.wanfangdata.com.cn/conference,True,live,text/html,,,True
c-wanfangdata-com-cn-newlocalchronicle-aspx.md,websites,Wanfang Data: China Local Gazetteers 万方数据: 新方志,https://c.wanfangdata.com.cn/NewLocalChronicle.aspx,200,https://c.wanfangdata.com.cn/NewLocalChronicle.aspx,True,live,text/html,,,True
c-wanfangdata-com-cn-periodical.md,websites,万方数字化期刊 Wanfang China Online Journals,https://c.wanfangdata.com.cn/periodical,200,https://c.wanfangdata.com.cn/periodical,True,live,text/html,,,True
c-wanfangdata-com-cn-thesis.md,websites,万方中国学位论文数据库 (Wanfang Dissertations of China),https://c.wanfangdata.com.cn/thesis,200,https://c.wanfangdata.com.cn/thesis,True,live,text/html,,,True
cadal-cadal.edu.cn-6adc23ce.md,websites,CADAL 中国高校数字化图书馆,https://cadal.edu.cn/index/home,200,https://cadal.edu.cn/index/home,True,live,text/html;charset=UTF-8,,,True
cadal-cadal.edu.cn-9a895f13.md,websites,CADAL 高校數字化圖書館 地方志,https://cadal.edu.cn/,200,https://cadal.edu.cn/index/home,True,live_redirect,text/html;charset=UTF-8,https://cadal.edu.cn/index/home,,True
caixin-com.md,websites,Caixin media 财新新闻及数据,https://www.caixin.com/,200,https://www.caixin.com/,True,live,text/html; charset=UTF-8,,,True
caixin-global-english-edition-www-caixinglobal-com.us1.proxy.openathens.net-9e89f876.md,websites,Caixin Global 财新国际 (English Edition),https://caixinglobal.com/,200,https://www.caixinglobal.com/,True,live_redirect,text/html; charset=UTF-8,https://www.caixinglobal.com/,,True
cap-amdigital-co-uk.md,websites,"China, America, and the Pacific",http://www.cap.amdigital.co.uk/,200,https://www.cap.amdigital.co.uk,True,live_redirect,text/html,https://www.cap.amdigital.co.uk,,False
carter-d-holton-photos-collection-images.hollis.harvard.edu-cfbe7ef9.md,websites,Carter D. Holton Photos Collection 海映光牧师中国甘青地区少数民族信仰文化老照片,https://images.hollis.harvard.edu/primo-explore/search?query=any%2Ccontains%2CHOLLIS+record%3A+013846872&tab=default_tab&search_scope=default_scope&vid=HVD_IMAGES&offset=0,200,https://hollis.harvard.edu:443/discovery/search?vid=01HVD_INST:HVD_IMAGES,True,live_redirect,text/html,https://hollis.harvard.edu:443/discovery/search?vid=01HVD_INST:HVD_IMAGES,,True
catalog-digitalarchives-tw-catalog-list-jsp.md,websites,典藏臺灣-檔案 Digital Taiwan-Archives,http://catalog.digitalarchives.tw/Catalog/List.jsp?CID=85,200,https://catalog.digitalarchives.tw/Catalog/List.jsp?CID=85,True,live_redirect,text/html;charset=big5,https://catalog.digitalarchives.tw/Catalog/List.jsp?CID=85,,False
cbdb-ontology-cbdb-cbdb.library.sh.cn-e81aea4d.md,websites,CBDB Ontology 上海图书馆 CBDB 本体,https://cbdb.library.sh.cn/ont,,,False,ssl_error,,,"HTTPSConnectionPool(host='cbdb.library.sh.cn', port=443): Max retries exceeded with url: /ont (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify faile",True
cbdb-ontology-on-webvowl-usources.cn-13b8db28.md,websites,CBDB Ontology on WebVOWL,http://www.usources.cn/webvowl,200,http://www.usources.cn/webvowl/,True,live_redirect,text/html;charset=ISO-8859-1,http://www.usources.cn/webvowl/,,False
cbeta-openaccess-cbeta.org-2cc76dbb.md,websites,CBETA 電子佛典集成 OPENACCESS,https://cbeta.org/,200,https://cbeta.org/,True,live,text/html; charset=UTF-8,,,True
ccaa-nju-edu-cn-html-index-html.md,websites,中国商业广告档案库 Chinese Commercial Advertisement Archive (1870-1940),https://ccaa.nju.edu.cn/html/index.html,200,https://ccaa.nju.edu.cn/html/index.html,True,live,text/html,,,True
ccg-eastview-com.md,websites,China Comprehensive Gazetteers 中国综合方志库,http://ccg.eastview.com/,200,https://ccg.eastview.com/,True,live_redirect,text/html; charset=utf-8,https://ccg.eastview.com/,,False
ccrd-usc-cuhk-edu-hk-default-aspx.md,websites,History of Contemporary Chinese Political Movements 中國當代政治運動史數據庫,http://ccrd.usc.cuhk.edu.hk/Default.aspx,200,http://ccrd.usc.cuhk.edu.hk/Default.aspx,True,live,text/html; charset=utf-8,,,False
ccrd-usc-cuhk-edu-hk.md,websites,中國當代政治運動史數據庫 (Databases on the History of Contemporary Chinese Political Movements),http://ccrd.usc.cuhk.edu.hk/,200,http://ccrd.usc.cuhk.edu.hk/Default.aspx?msg=%e6%b2%a1%e6%9c%89%e8%ae%a2%e9%98%85%ef%bc%8c%e6%ac%a2%e8%bf%8e%e8%ae%a2%e9%98%85%ef%bc%81,True,live_redirect,text/html; charset=utf-8,http://ccrd.usc.cuhk.edu.hk/Default.aspx?msg=%e6%b2%a1%e6%9c%89%e8%ae%a2%e9%98%85%ef%bc%8c%e6%ac%a2%e8%bf%8e%e8%ae%a2%e9%98%85%ef%bc%81,,False
ccs-ncl-edu-tw-expertdb-aspx.md,websites,臺灣漢學研究中心專題資料庫 Center for Chinese Studies (Taiwan) Subject Databases,http://ccs.ncl.edu.tw/ExpertDB.aspx,,,False,timeout,,,Connection timed out,False
ccs-ncl-edu-tw-g0107-database3-aspx.md,websites,典藏國際漢學博士論文摘要資料庫 (International Chinese Studies Doctoral Dissertation Abstracts Database),http://ccs.ncl.edu.tw/g0107/database3.aspx,,,False,timeout,,,Connection timed out,False
ccts-ascc-net-index-php.md,websites,Chinese Civilization in Time and Space,http://ccts.ascc.net/index.php?lang=zh-tw,404,https://ccts.sinica.edu.tw/index.php?lang=zh-tw,False,dead_404,text/html,,,False
ccts-ascc-net.md,websites,Ccts Ascc Net,https://ccts.sinica.edu.tw/,200,https://ccts.sinica.edu.tw/,True,live,text/html,,,True
ceic-data-library.hbs.edu-1504eb4b.md,websites,CEIC Data,https://library.hbs.edu/Find/Databases/CEIC-Data,,,False,ssl_error,,,"HTTPSConnectionPool(host='library.hbs.edu', port=443): Max retries exceeded with url: /Find/Databases/CEIC-Data (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certif",True
cgss-ruc-edu-cn.md,websites,"中国综合社会调查 (Chinese General Social Survey, CGSS)",http://cgss.ruc.edu.cn/,200,http://cgss.ruc.edu.cn/,True,live,text/html,,,False
chant-org.md,websites,Chant Org,https://www.chant.org/clogin,200,https://www.chant.org/clogin,True,live,text/html; charset=UTF-8,,,True
char-iis-sinica-edu-tw-index-htm.md,websites,Char Iis Sinica Edu Tw Index Htm,https://char.iis.sinica.edu.tw/index.htm,200,https://char.iis.sinica.edu.tw/index.htm,True,live,text/html,,,True
china-amdigital-co-uk.md,websites,"China: Trade, Politics and Culture 1793-1980",http://www.china.amdigital.co.uk/,200,https://www.china.amdigital.co.uk,True,live_redirect,text/html,https://www.china.amdigital.co.uk,,False
china-comprehensive-gazetteers-1229-1949-id.lib.harvard.edu-d87d55fa.md,websites,China Comprehensive Gazetteers 中國綜合方誌庫 1229-1949,https://id.lib.harvard.edu/alma/99156693573903941/catalog,200,https://hollis.harvard.edu/discovery/fulldisplay?context=L&vid=01HVD_INST:HVD2&lang=en&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&docid=alma99156693573903941,True,live_redirect,text/html,https://hollis.harvard.edu/discovery/fulldisplay?context=L&vid=01HVD_INST:HVD2&lang=en&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&docid=alma99156693573903941,,True
china-data-online-china-data-online.com-d5e4b6a9.md,websites,China Data Online 中国数据在线,http://china-data-online.com,200,https://www.china-data-online.com/acmr-cndata-pub/home/homes.htm?auto=1,True,live_redirect,text/html;charset=UTF-8,https://www.china-data-online.com/acmr-cndata-pub/home/homes.htm?auto=1,,False
